-0,952145--0,698621821428571	2
-0,698621821428571--0,445098642857143	0
-0,445098642857143--0,191575464285714	3
-0,191575464285714-0,0619477142857143	3
0,0619477142857143-0,315470892857143	2
0,315470892857143-0,568994071428572	14
0,568994071428572-0,82251725	18
0,82251725-1,07604042857143	20
1,07604042857143-1,32956360714286	35
1,32956360714286-1,58308678571429	33
1,58308678571429-1,83660996428571	52
1,83660996428571-2,09013314285714	53
2,09013314285714-2,34365632142857	70
2,34365632142857-2,5971795	73
2,5971795-2,85070267857143	80
2,85070267857143-3,10422585714286	69
3,10422585714286-3,35774903571429	65
3,35774903571429-3,61127221428572	48
3,61127221428572-3,86479539285714	52
3,86479539285714-4,11831857142857	30
4,11831857142857-4,37184175	13
4,37184175-4,62536492857143	15
4,62536492857143-4,87888810714286	11
4,87888810714286-5,13241128571429	12
5,13241128571429-5,38593446428571	3
5,38593446428571-5,63945764285714	2
5,63945764285714-5,89298082142857	1
5,89298082142857-6,146504	0
